Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0402,3,100nF,
"C10, C7",0402,2,4.7uF,
"C3, C8, C9",0402,3,10uF,
"C4, C6",0402,2,1uF,
D1,D_SOD-323,1,1N5819,C191023
D2,0603,1,CHG,C2287 
D3,0603,1,PA0,C2286
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_14P,C2765186
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST PH-2,C295747
L1,L_Murata_DFE201612E,1,2.2uH,C337893
Q1,SOT-23,1,AO3401A,
Q3,SOT-23,1,AO3401A,
R1,0402,1,10K,
R10,0402,1,10M,
R11,0402,1,1M,
"R2, R3",0402,2,5.1k,
R4,0402,1,10K,
R5,0402,1,267k,
R6,0402,1,2K,
"R7, R8",0402,2,1K,
R9,0402,1,4.7M,
SW1,TS-1187A-B-A-B,1,RST,C318884
SW2,TS-1187A-B-A-B,1,BOOT,C318884
U1,SOT-23-5,1,TP4054,C32574
U3,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,C2846043
U5,VSON-8_1.5x2mm_P0.5mm,1,TPS62840DLC,C2071859
